Emotion,Selected,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
Joy,No,President Trump will ALWAYS be better than @JoeBiden #Trump #biden https://t.co/3UDSSRSHaw,1/17/2021 6:06,en,,0,0,,The Conservanick,Raging Hetero Republican with the truth!,7,1,11,0,0,FALSE,,,@TConservanick
Joy,No,That's for the White House pantry alone. #WhiteHouse #Moving #Trump https://t.co/eG6ad5k4dM,1/17/2021 6:06,en,,0,0,,Greg Brian,Freelance writer who creates content for businesses around the world. Former writer at Showbiz Cheat Sheet. Still unpaid for all content on Twitter.,152011,0,2342,767,62,FALSE,,,@Gregoriancant
Joy,No,"@MeidasTouch When is this going to stop @senatemajldr @JohnCornyn @SenTedCruz @marcorubio @RandPaul oh @LindseyGrahamSC ?

#GOPCorruptionOverCountry #GOP #Trump #TrumpFailedAmerica 

https://t.co/AdpipdsRAV",1/17/2021 6:06,en,,0,0,@MeidasTouch,JulieB.,Retired tech writer now Animal Advocate,8242,7979,474,114,0,FALSE,,,@Crossposter_JB
Joy,No,"@JohnCornyn Guessing this is your admission that #Trump @tedcruz @HawleyMO &amp; their band of thugs that attacked &amp; desecrated our capital should be held accountable? Because they should! And the @gop enablers, like yourself @JohnCornyn, should gave to answer! Too!",1/17/2021 6:05,en,,0,0,@JohnCornyn,Winnie riddle,,79350,35254,908,639,2,FALSE,,,@riddlewinnie1
Joy,No,"A life spent making mistakes and learning from it is more honorable than a life spent doing nothing.

#SaturdayVibes #Trump #USA https://t.co/BjX7PnO5zR",1/17/2021 6:05,en,,0,0,,sunny_k,value Investor / swing trader / Manager /environmentalist.    sharing my thoughts not investments advices,17,12,31,3,0,FALSE,,,@sunilkatalP
Joy,No,@Porter_Anderson @eliehonig @AnaCabrera @WhiteHouse #Trump must be brought to account for all his criminal activities during (and before) his presidency; else the precedents he has set will embolden any future autocrat or—heaven forbid—theocrat—to the serious detriment of a free and just society … https://t.co/Pr39RDhvz6,1/17/2021 6:04,en,,0,0,@Porter_Anderson,Philip Cohen,Vociferous Trump critic.,37086,14194,176,279,3,FALSE,,,@PhilipCohen5
Joy,No,"If you hate the #media, then a Joe #BidenAdministration will be great because it will be boring in its competence &amp; lack sizzle without constant Twitter rants. Media ratings were sky high w #Trump #BidenHarrisInauguration #BidenInauguration #AmericaOrTrump",1/17/2021 6:04,en,,0,0,,"$2,000 relief checks now","Clean tech lawyer, poli sci PhD. Let nothing discourage you, nothing depress you.. Am I not your mother? Are you not under the protection of my mantle?-Our Lady",16550,7711,405,149,1,FALSE,,,@BybloodofJesus
Joy,No,"STOP being fearful of Truths 
Even of @Twitter @Facebook &amp; whatever other SM Sites 
I for one Believe SM allowed  #Trump his #republican Ppl in office  2 Incite #Supporters
all be accountable 4 #CapitolRiot
Lies re #Cov19
Why Did SM Sites allow &amp; Take so Long to Block Instigating",1/17/2021 6:04,en,,0,0,,Beez Laine,https://t.co/dJmSQoHJYg Registered Protected https://t.co/0zL6RBlx3b Poetry HumanRights A #Voice Against #Violence all forms re #Females #Graves #FM #ptsd,465052,294651,4143,8509,681,FALSE,,,@beezknez
Joy,No,#Trump may have turned out to be a decent person if he had someone to tell him   You is Kind You is Smart You is Important when he was a little boy. #HeNeededAHug #listentoyourmom,1/17/2021 6:04,en,,1,0,,PumpUpTheVol80s,I don’t know. Stuff. And besides people use what they hear and read here as fact. This is where opinion becomes fact and fear drives perception and reality.,819,1326,170,20,0,FALSE,,,@userMymouf
Joy,No,@JoyVBehar Yes I’ve heard they are horrible  cheaply made you’re paying for the box and his ugly mug ‼️ #BedBathAndBeyond #MyPillow #MyPillowGuy #Trump,1/17/2021 6:04,en,,0,0,@JoyVBehar,AnthonyGG,#Democrat #LGBTQ #BLM #TheBlackVote #VoteBlue 🗳,424,1369,408,38,0,FALSE,,,@Anthony33587015
