Selected,Content,Date,Language,Author Verified
No,I guess #trump really got muted huh? Twitter seems so much more quiet lol #idiot #followme #donaldtrump #notmypresident #trending,1/17/2021 5:59,en,FALSE
No,"Joe Biden Holds Inaugural Celebration on YouTube -- Only 24K Tune in to His Channel -- Trump Holds YouTube Speech at Alamo and Got 804,000 Viewers WHILE HE SPOKE #ST0LEN via @gatewaypundit https://t.co/7ZoPVpA6LC  Just goes to show once again Who was elected president. #TRUMP",1/17/2021 5:59,en,FALSE
No,I already miss #Trump https://t.co/HAH8HxGXYe,1/17/2021 5:58,en,FALSE
No,"Can I just say, it worries me. What if #Trump decided to remove Biden and most of DC from office? I don't think he could get away with that, but he's gotten away with so much, and it's late at night, I can't say it's impossible.. https://t.co/tNWGJqT2qe",1/17/2021 5:58,en,FALSE
No,"What the hell? The state of Florida continues its witch hunt, using the full force of the law (previously armed troopers, guns drawn) to intimidate, harass, and now punish a critic of #Trump ally and science denier Gov. #RonDeSantis? https://t.co/sRsFIVstNm",1/17/2021 5:58,en,FALSE
No,Why is the system against #Trump why? Whenever you see the systems against someone just dear back and rethink,1/17/2021 5:58,en,FALSE
No,@LaLaRocka @Cynthia35843537 @RadioFreeTom They truly exist. Sadly the #MAGA cult really think #Trump loves them. https://t.co/zvZrD8hIy8,1/17/2021 5:57,en,FALSE
No,"@DonaldJTrumpJr what if there was a live #YouTube rally say Wednesday 11 am to 1 pm to thank supporters, staff, senators, etc  and do a check list of what was promised and what got done #trump @flotus",1/17/2021 5:57,en,FALSE
No,"#USPS A Package mailed Chicago Jan 4, two day priority to be delivered in Tucson Jan 16! Two day priority. Tracking indicates it was shipped by slow truck through Desmoines, Denver Phoenix where it departed Jan 12. To be delivered 100 miles away 4 days later! SHAME @USPS #TRUMP",1/17/2021 5:57,en,FALSE
No,"@DanEggenWPost The grifter #Trump at it again. 
Wonder who will actually donate to him once he’s out of office.",1/17/2021 5:57,en,FALSE
No,Want to trigger the @DNC for eternity? Let’s form the “True Republican United Maga Party”(TRUMP) so they have to see Trump’s name on every ballot they ever cast! ##TRUMP #TrumpBestPrezEver #MAGA #4MoreYears,1/17/2021 5:57,en,FALSE
No,"Win $75 grocery gift card -just take a simple survey👉https://t.co/vIQEDvTwpW

#trump #USA #USAElections2020 #grocery #Germany #women #womensfashion #WomensChampion #covid #CoronaVaccine #coronavirus #people #Canada #shop #marketing https://t.co/brY7NNIyzG",1/17/2021 5:56,en,FALSE
No,"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #women #USA https://t.co/AkzsQ6KRgV",1/17/2021 5:56,en,FALSE
No,"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #women #USA https://t.co/kZTkoTuyaF",1/17/2021 5:56,en,FALSE
No,"@MeidasTouch @standforbetter If God wanted #tRUMP to win, wouldn’t he have actually won? Why do they always invoke @TheTweetOfGod ‘s name. Does that make everything they do okay? Also pillow guy just outed his nieces !!!!!! 😜",1/17/2021 5:56,en,FALSE
