Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
"@DanEggenWPost The grifter #Trump at it again. 
Wonder who will actually donate to him once he’s out of office.",1/17/2021 5:57,en,,0,0,@DanEggenWPost,Brandy Batliwala,an opinion but not always judgement #womensrights #RESIST #lgbtq #politics #sports #travel #food #film. my hero #FieldMarshalSamManekshaw,10180,15575,805,257,1,FALSE,,,@chatter16979696
Want to trigger the @DNC for eternity? Let’s form the “True Republican United Maga Party”(TRUMP) so they have to see Trump’s name on every ballot they ever cast! ##TRUMP #TrumpBestPrezEver #MAGA #4MoreYears,1/17/2021 5:57,en,,0,0,,@PresElectToBe,"Husband, Father, Husker, Padre , Chief, an Imperfect Christian but Perfected in Christ✝️ #MAGA IFBAP",2288,4600,1834,1806,0,FALSE,,,@PresElectToBe
"Win $75 grocery gift card -just take a simple survey👉https://t.co/vIQEDvTwpW

#trump #USA #USAElections2020 #grocery #Germany #women #womensfashion #WomensChampion #covid #CoronaVaccine #coronavirus #people #Canada #shop #marketing https://t.co/brY7NNIyzG",1/17/2021 5:56,en,US,0,0,@Lili68332961,Lili 🇨🇦,hello - i am Lili from canada,35,107,116,12,0,FALSE,,,@Lili68332961
"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #women #USA https://t.co/AkzsQ6KRgV",1/17/2021 5:56,en,US,0,0,@Lili68332961,Lili 🇨🇦,hello - i am Lili from canada,35,107,116,12,0,FALSE,,,@Lili68332961
"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #women #USA https://t.co/kZTkoTuyaF",1/17/2021 5:56,en,US,0,0,@Lili68332961,Lili 🇨🇦,hello - i am Lili from canada,35,107,116,12,0,FALSE,,,@Lili68332961
"@MeidasTouch @standforbetter If God wanted #tRUMP to win, wouldn’t he have actually won? Why do they always invoke @TheTweetOfGod ‘s name. Does that make everything they do okay? Also pillow guy just outed his nieces !!!!!! 😜",1/17/2021 5:56,en,,0,0,@MeidasTouch,Asymetrical,,37623,56850,4450,196,0,FALSE,,,@Asymetrical13
"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #groceryhaul https://t.co/QkhgoDJBJM",1/17/2021 5:56,en,US,0,0,,Lili 🇨🇦,hello - i am Lili from canada,35,107,116,12,0,FALSE,,,@Lili68332961
"Just out of curiosity what did more damage to Broadway? Trump, COVID, or the Cats movie?
#CATS #Broadway #Trump",1/17/2021 5:56,en,,0,0,,Tony Hutcherson,Independent thinker. Armchair Philosopher. Student of Life and History. Political party free since 2016.  “I yam what I yam and thats all that I yam” - Popeye,602,401,68,19,0,FALSE,,,@vern345
"The current occupant of the @whitehouse has let spread unchecked throughout the entire country a deadly disease, causing gross harm and immeasurable heartache. And, I’m only talking about the bigotry and corruption. #trump #COVID19 #immigration #WhiteSupremacy #GOPfascists",1/17/2021 5:56,en,,0,0,,(((RB Blair))) Proud Democrat | Wear A Damn Mask,"I tweet politics & follow cool cats. Be ruthless with institutions; be kind to individuals. #WearAMask! When we vote, we win!",244437,29911,11215,11846,322,FALSE,,,@TuxcedoCat
"#MAGA #MAGAFOREVER #TRUMP2020ToSaveAmerica #Trump #StopTheSteaI2020 

Hey Y'all MAGA -- this is amazing!! THIS guy gets it!! https://t.co/Jad5vep8Td",1/17/2021 5:55,en,,0,0,,R Roberts,"""Never argue with stupid people, they will drag you down to their level and beat you with experience."" Twitter in a Mark Twain shell. #FBR",10023,7856,904,259,0,FALSE,,,@ForgiveUsPls
